danceability_bucket,energy_bucket,valence_bucket,song_count,avg_popularity
0.9,0.5,0.8,2,56.0
0.8,0.7,0.6,16,55.94
0.7,0.8,0.8,22,55.86
0.7,0.8,0.9,22,55.86
0.6,0.9,0.2,2,55.5
0.7,0.9,0.9,14,55.43
0.5,0.8,0.2,5,55.2
0.6,0.7,0.5,18,55.06
0.3,0.9,0.5,1,55.0
0.6,0.2,0.1,1,55.0
0.5,0.5,0.2,5,54.8
0.6,0.8,0.8,10,54.7
0.7,0.5,0.4,5,54.6
0.5,0.5,0.3,4,54.5
0.8,0.9,0.9,7,54.43
0.4,0.8,0.5,7,54.29
0.6,0.4,0.3,4,54.25
0.6,0.5,0.3,7,53.86
0.7,0.9,0.6,19,53.84
0.9,0.6,0.5,6,53.67
0.9,0.6,0.7,9,53.56
0.5,0.9,0.3,7,53.43
0.7,0.7,0.5,24,53.21
0.7,0.4,0.4,5,53.2
0.7,0.5,0.1,6,53.17
0.2,0.6,0.4,1,53.0
0.4,0.7,0.5,3,53.0
0.6,0.8,0.2,4,53.0
0.8,0.8,1.0,5,53.0
0.7,0.5,0.5,6,52.83
0.8,0.4,0.2,3,52.67
0.7,0.6,0.7,7,52.29
0.8,0.5,0.3,1,52.0
0.7,0.5,0.2,6,51.83
0.6,0.6,0.6,8,51.75
0.8,0.5,0.4,11,51.73
0.7,0.4,0.5,7,51.71
0.9,0.5,0.5,3,51.67
0.5,0.4,0.3,3,51.33
0.4,0.5,0.5,1,51.0
0.4,0.6,0.5,1,51.0
0.4,0.7,0.8,1,51.0
0.6,0.5,0.1,3,51.0
0.7,0.9,0.3,3,51.0
0.9,0.4,0.4,4,50.75
0.7,0.6,0.5,16,50.5
0.7,0.6,0.9,4,50.5
0.6,0.6,0.3,5,50.4
0.5,0.8,0.5,11,50.27
0.4,0.8,0.4,4,50.0
0.4,0.7,0.4,2,49.5
0.9,0.6,0.4,4,49.5
0.3,0.8,0.3,1,49.0
0.7,0.4,0.2,1,49.0
0.6,0.7,0.4,18,48.83
0.8,0.9,0.3,1,48.0
0.5,0.6,0.6,6,47.83
0.5,0.9,0.7,4,47.75
0.7,0.8,0.5,15,47.67
0.4,0.8,0.3,4,47.5
0.5,0.5,0.4,3,47.33
0.6,0.8,0.3,12,47.33
0.5,0.9,0.1,1,47.0
0.6,0.5,0.6,3,47.0
0.7,0.9,0.4,4,47.0
0.8,0.6,0.1,1,47.0
0.8,1.0,0.2,1,47.0
0.9,0.8,0.7,4,46.75
0.7,0.7,0.3,8,46.63
0.8,0.9,0.7,10,44.8
0.9,0.5,0.6,4,43.75
0.8,0.9,0.5,6,43.67
0.7,1.0,0.7,1,43.0
0.6,0.7,0.2,10,42.7
0.8,0.4,0.8,1,42.0
0.4,0.8,0.6,5,41.8
0.3,0.5,0.1,3,40.67
0.7,0.3,0.2,2,37.5
0.6,1.0,0.3,2,36.5
0.6,0.3,0.5,1,36.0
0.8,0.6,0.2,2,34.5
0.6,0.7,0.9,2,34.0
0.9,0.9,0.5,1,34.0
0.9,0.4,0.7,2,31.5
0.9,0.9,1.0,2,30.0
0.8,1.0,0.7,2,28.5
0.6,0.3,0.3,1,4.0
0.1,0.4,0.2,1,1.0
0.5,0.4,0.6,1,1.0
0.8,0.5,1.0,1,1.0
0.3,0.2,0.2,1,0.0
0.6,0.4,0.5,1,0.0
0.6,0.9,0.0,1,0.0
0.6,0.9,0.1,1,0.0
0.6,1.0,0.5,1,0.0
0.9,0.8,1.0,1,0.0
