artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,1999,1990s,pop,56,0.745,0.958,0.96,129.962,0.5361201699772705,0.8004
Enrique Iglesias,Not In Love - Radio Mix,2003,2000s,"pop, latin",37,0.762,0.885,0.886,117.021,0.7618341733372863,0.7998
Icona Pop,I Love It (feat. Charli XCX),2013,2010s,"pop, Dance/Electronic",68,0.711,0.906,0.824,125.916,0.8816582666271371,0.7998
Big Shaq,Man's Not Hot,2017,2010s,"pop, Dance/Electronic",62,0.905,0.884,0.588,135.048,0.812234410514873,0.7995
Outkast,The Whole World (feat. Killer Mike),2001,2000s,"hip hop, pop",51,0.814,0.852,0.717,184.682,0.7084692163257239,0.7992
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2002,2000s,"hip hop, pop, R&B",70,0.845,0.768,0.96,100.0,0.7444411503112955,0.7992
A.R. Rahman,Jai Ho! (You Are My Destiny),2009,2000s,set(),65,0.657,0.941,0.879,136.202,0.8199920940804427,0.7992
PSY,Gangnam Style (강남스타일),2012,2010s,pop,72,0.727,0.937,0.749,132.067,0.8717758671805514,0.7989
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),2005,2000s,"hip hop, pop, R&B",67,0.904,0.813,0.81,125.461,0.6625654708963336,0.7986
Jamiroquai,Little L,2001,2000s,pop,65,0.878,0.724,0.904,121.906,0.7481470501037651,0.7984
Justin Timberlake,SexyBack (feat. Timbaland),2006,2000s,pop,78,0.967,0.583,0.964,117.0,0.7388081826267417,0.798
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",2003,2000s,"hip hop, pop",57,0.802,0.863,0.873,81.008,0.8381262970649274,0.7972
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018,2010s,"pop, latin",65,0.792,0.895,0.794,94.968,0.8598675758474158,0.7966
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),2010,2010s,Dance/Electronic,1,0.901,0.805,0.737,124.996,0.7663306650854828,0.7964
Girls Aloud,Something Kinda Ooooh,2012,2010s,"pop, Dance/Electronic",49,0.681,0.908,0.879,131.925,0.8200415060776757,0.7961
Dr. Dre,Forgot About Dre,1999,1990s,hip hop,79,0.924,0.74,0.621,133.974,0.9494515268307145,0.7958
*NSYNC,Bye Bye Bye,2000,2000s,pop,65,0.614,0.928,0.879,172.656,0.7761636525348354,0.7948
Alien Ant Farm,Smooth Criminal,2001,2000s,"rock, metal",75,0.653,0.964,0.87,126.928,0.8030931910267813,0.7948
Alexandra Stan,Mr. Saxobeat,2011,2010s,"pop, Dance/Electronic",0,0.726,0.931,0.797,126.976,0.8084790987251704,0.7947
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),2017,2010s,hip hop,0,0.839,0.81,0.814,129.014,0.7530388378298251,0.7945
Room 5,Make Luv,2003,2000s,Dance/Electronic,57,0.883,0.887,0.648,124.814,0.7705306848502816,0.7942
JAY-Z,I Just Wanna Love U (Give It 2 Me),2000,2000s,hip hop,59,0.8,0.922,0.801,98.631,0.7604012254175314,0.7941
Chingy,Right Thurr,2003,2000s,"hip hop, pop, R&B",69,0.866,0.749,0.891,92.074,0.8171261982409329,0.7939
Lloyd,Get It Shawty,2007,2000s,"hip hop, pop, R&B",62,0.822,0.905,0.674,128.014,0.8144085383931219,0.7938
Sugababes,Push The Button,2005,2000s,"pop, R&B",64,0.962,0.66,0.814,126.016,0.7618341733372863,0.7937
One Direction,Live While We're Young,2012,2010s,pop,0,0.658,0.837,0.936,126.015,0.9117007609447574,0.7936
Toni Braxton,He Wasn't Man Enough,2000,2000s,"pop, R&B",66,0.739,0.947,0.766,88.009,0.9189643245379978,0.7935
Britney Spears,Break the Ice,2007,2000s,pop,61,0.712,0.911,0.85,117.533,0.8226109299337879,0.7935
Bruno Mars,Treasure,2012,2010s,pop,78,0.874,0.692,0.937,116.017,0.7527423658464274,0.7935
MAGIC!,Rude,2014,2010s,set(),80,0.773,0.758,0.925,144.033,0.7669236090522779,0.7935
Selena Gomez & The Scene,Love You Like A Love Song,2011,2010s,"pop, Dance/Electronic",79,0.858,0.678,0.922,117.009,0.8224132819448562,0.7932
Enrique Iglesias,Escape,2001,2000s,"pop, latin",56,0.776,0.844,0.868,125.972,0.7515070659156043,0.7931
Scissor Sisters,I Don't Feel Like Dancin',2006,2000s,"pop, rock, Dance/Electronic",63,0.707,0.923,0.845,108.023,0.8451922126692362,0.7926
Ricky Martin,She Bangs - English Version,2000,2000s,"pop, latin",60,0.63,0.95,0.858,143.866,0.8153967783377803,0.7923
Keri Hilson,Pretty Girl Rock,2010,2010s,"pop, R&B",67,0.666,0.87,0.9,160.014,0.7663800770827157,0.7923
Scissor Sisters,Comfortably Numb,2004,2000s,"pop, rock, Dance/Electronic",43,0.803,0.924,0.788,116.972,0.6941397371281747,0.7921
Janet Jackson,All For You,2001,2000s,"pop, R&B",65,0.753,0.934,0.73,113.525,0.8648581875679415,0.7919
Michael Jackson,You Rock My World,2001,2000s,"pop, R&B",64,0.854,0.673,0.955,95.0,0.8588793359027571,0.7918
Chamillionaire,Ridin',2005,2000s,"hip hop, pop",71,0.787,0.799,0.835,143.052,0.7823895641861844,0.7917
Lady Gaga,Poker Face,2008,2000s,pop,77,0.851,0.806,0.787,118.999,0.78535428402016,0.7915
Ed Sheeran,Antisocial (with Travis Scott),2019,2010s,pop,63,0.716,0.823,0.91,151.957,0.751111769937741,0.7912
Shakira,"Whenever, Wherever",2001,2000s,"pop, latin",74,0.794,0.832,0.871,107.657,0.7733965806897914,0.7902
Pharrell Williams,"Happy - From ""Despicable Me 2""",2014,2010s,"hip hop, pop",79,0.647,0.822,0.962,160.019,0.7832789801363772,0.7895
