artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Justin Timberlake,My Love (feat. T.I.),2006,2000s,pop,72,0.771,0.68,0.808,119.952,0.7230457555094376,0.7313
Enrique Iglesias,Do You Know? (The Ping Pong Song),2007,2000s,"pop, latin",45,0.753,0.759,0.706,114.999,0.7750271765984781,0.7306
Britney Spears,Work B**ch,2013,2010s,pop,0,0.63,0.816,0.85,128.012,0.6907303093191026,0.7306
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,2002,2000s,"rock, easy listening",60,0.597,0.97,0.717,114.999,0.7185492637612412,0.7303
Sia,The Greatest (feat. Kendrick Lamar),2016,2010s,pop,68,0.668,0.725,0.729,191.944,0.7108904041901374,0.7301
Oliver Heldens,Gecko (Overdrive) - Radio Edit,2014,2010s,"pop, Dance/Electronic",67,0.609,0.885,0.76,124.959,0.743403498369404,0.7299
Calvin Harris,Summer,2014,2010s,"hip hop, pop, Dance/Electronic",21,0.603,0.861,0.72,127.962,0.8374839411008992,0.7298
Snoop Dogg,Drop It Like It's Hot,2004,2000s,"hip hop, pop",39,0.892,0.628,0.676,92.063,0.8242909378397074,0.7295
Snoop Dogg,Drop It Like It's Hot,2004,2000s,"hip hop, pop",39,0.892,0.628,0.676,92.063,0.8242909378397074,0.7295
Hot Chelle Rae,Tonight Tonight,2011,2010s,"hip hop, pop, rock",73,0.686,0.783,0.814,99.978,0.7677142010080047,0.7295
Sidney Samson,Riverside,2009,2000s,Dance/Electronic,47,0.804,0.976,0.237,125.997,0.8921830220377507,0.7294
Nelly,Ride Wit Me,2000,2000s,"hip hop, pop, R&B",75,0.85,0.7,0.722,101.875,0.6929538491945845,0.7293
Mariah Carey,It's Like That,2005,2000s,"pop, R&B",0,0.8,0.633,0.836,95.953,0.7727542247257634,0.7293
Toby Keith,As Good As I Once Was,2005,2000s,country,67,0.68,0.87,0.646,119.075,0.7932107915801956,0.7292
B.o.B,Nothin' on You (feat. Bruno Mars),2010,2010s,"hip hop, pop",74,0.688,0.853,0.743,103.993,0.7263563593240439,0.7292
Ciara,Get Up (feat. Chamillionaire),2006,2000s,"pop, R&B",59,0.964,0.595,0.629,128.593,0.673337286293112,0.729
Kesha,Die Young,2012,2010s,"pop, Dance/Electronic",78,0.711,0.7,0.801,128.001,0.7762130645320684,0.7289
JAY-Z,Numb / Encore,2004,2000s,hip hop,76,0.687,0.793,0.751,107.045,0.8034390750074117,0.7286
Dominic Fike,3 Nights,2018,2010s,"rock, pop",78,0.815,0.518,0.877,151.891,0.6878150014823599,0.7285
Starley,Call on Me - Ryan Riback Remix,2016,2010s,"pop, Dance/Electronic",48,0.67,0.838,0.716,105.0,0.8144579503903548,0.7284
Black Eyed Peas,Boom Boom Pow,2009,2000s,"hip hop, pop",68,0.867,0.857,0.402,130.048,0.7225022235398755,0.7281
Sech,Otro Trago,2019,2010s,latin,71,0.746,0.7,0.619,176.044,0.7829330961557466,0.7281
D12,How Come,2004,2000s,"hip hop, pop, rock",57,0.745,0.858,0.547,89.983,0.9038936653819547,0.728
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2016,2010s,"pop, Dance/Electronic",75,0.72,0.763,0.742,101.965,0.8126297064927364,0.728
Destiny's Child,"Independent Women, Pt. 1",2001,2000s,"pop, R&B",65,0.73,0.602,0.927,97.954,0.8267615377013539,0.7279
Destiny's Child,"Independent Women, Pt. 1",2001,2000s,"pop, R&B",65,0.73,0.602,0.927,97.954,0.8267615377013539,0.7279
Khia,"My Neck, My Back (Lick It)",2015,2010s,"pop, R&B",59,0.859,0.625,0.71,102.072,0.8044273149520704,0.7277
Christina Aguilera,Ain't No Other Man,2006,2000s,pop,63,0.862,0.742,0.511,127.91,0.7803142603024014,0.7273
Kesha,Blah Blah Blah (feat. 3OH!3),2010,2010s,"pop, Dance/Electronic",61,0.752,0.836,0.519,120.003,0.8568534440162072,0.7269
The Supermen Lovers,Starlight - Radio Edit,2001,2000s,Dance/Electronic,61,0.739,0.679,0.786,127.487,0.762674177290246,0.7268
NSG,Options,2020,2020s,"World/Traditional, hip hop",57,0.836,0.621,0.762,101.993,0.7821919161972526,0.7268
XXXTENTACION,Moonlight,2018,2010s,hip hop,82,0.921,0.537,0.711,128.009,0.7308528510722404,0.7264
Sigala,Wish You Well,2019,2010s,"pop, Dance/Electronic",64,0.669,0.895,0.576,124.975,0.8265144777151893,0.7261
LL Cool J,Control Myself,2006,2000s,"hip hop, pop, R&B",42,0.825,0.876,0.48,120.066,0.6896926573772111,0.726
Maroon 5,Misery,2010,2010s,pop,67,0.703,0.81,0.726,102.978,0.7728036367229963,0.726
Blue,One Love,2002,2000s,pop,60,0.683,0.722,0.854,95.012,0.8140626544124915,0.7258
David Guetta,Lovers on the Sun (feat. Sam Martin),2014,2010s,"hip hop, pop, Dance/Electronic",50,0.645,0.891,0.568,124.915,0.8898606581678031,0.7258
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2006,2000s,rock,71,0.535,0.948,0.778,103.183,0.8066014428303191,0.7257
Ellie Goulding,Lights - Single Version,2010,2010s,"pop, rock, Dance/Electronic",63,0.682,0.795,0.78,120.008,0.7087656883091215,0.7257
Cher Lloyd,Want U Back,2011,2010s,"pop, Dance/Electronic",67,0.696,0.893,0.573,97.954,0.867229963435122,0.7257
Avril Lavigne,My Happy Ending,2004,2000s,pop,68,0.414,0.936,0.74,170.229,0.8947030338966301,0.7255
Destiny's Child,Say My Name,1999,1990s,"pop, R&B",75,0.713,0.678,0.734,138.009,0.8394604209902164,0.7251
MIKA,Love Today,2006,2000s,pop,57,0.673,0.913,0.587,124.484,0.7675165530190731,0.7249
Lil Nas X,Old Town Road - Remix,2019,2010s,"hip hop, pop",79,0.878,0.619,0.639,136.041,0.7389070066212077,0.7248
Lupe Fiasco,The Show Goes On,2011,2010s,"hip hop, pop",70,0.591,0.889,0.65,143.067,0.823945053859077,0.7247
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,2006,2000s,"hip hop, pop",58,0.711,0.761,0.718,95.824,0.8634252396481866,0.7246
OneRepublic,All The Right Moves,2009,2000s,pop,65,0.529,0.948,0.65,146.024,0.8393615969957505,0.7246
Rihanna,Rude Boy,2009,2000s,"hip hop, pop, R&B",74,0.563,0.75,0.812,173.906,0.7914813716770432,0.7245
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2011,2010s,"hip hop, pop",81,0.646,0.795,0.796,89.99,0.8509240043482558,0.7244
Razorlight,In The Morning,2006,2000s,"rock, pop",59,0.616,0.855,0.686,124.191,0.8409427809072042,0.724
Anne-Marie,Alarm,2016,2010s,"pop, Dance/Electronic",57,0.756,0.589,0.811,146.928,0.7619824093289851,0.724
Charlie Puth,How Long,2018,2010s,pop,72,0.845,0.561,0.811,109.974,0.7540764897717166,0.724
Travis Scott,SICKO MODE,2018,2010s,"hip hop, Dance/Electronic",81,0.834,0.73,0.446,155.008,0.8301215535131931,0.7239
Travis Scott,SICKO MODE,2018,2010s,"hip hop, Dance/Electronic",81,0.834,0.73,0.446,155.008,0.8301215535131931,0.7239
Red Hot Chili Peppers,Dani California,2006,2000s,rock,76,0.556,0.913,0.73,96.184,0.8970253977665777,0.7237
Kevin Gates,2 Phones,2016,2010s,"hip hop, pop",69,0.895,0.681,0.554,121.918,0.7533847218104556,0.7235
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999,1990s,"pop, R&B",63,0.854,0.543,0.868,103.032,0.7089633362980531,0.7234
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),2012,2010s,"hip hop, pop, Dance/Electronic",72,0.666,0.876,0.552,129.884,0.8615475837533353,0.7234
Destiny's Child,Survivor,2001,2000s,"pop, R&B",70,0.514,0.911,0.619,161.109,0.9134795928451427,0.7233
DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,2012,2010s,"pop, Dance/Electronic",58,0.524,0.972,0.476,175.017,0.9361102875778239,0.7233
M.O.P.,Cold as Ice,2000,2000s,hip hop,54,0.656,0.88,0.758,85.565,0.7455776262476529,0.723
Linkin Park,Faint,2003,2000s,"rock, metal",72,0.554,0.978,0.594,135.095,0.8380274730704615,0.7228
Blanco Brown,The Git Up,2019,2010s,"hip hop, country",69,0.847,0.678,0.811,97.984,0.5869651151299535,0.7228
Kylie Minogue,Can't Get You out of My Head,2001,2000s,"pop, Dance/Electronic",73,0.766,0.563,0.964,126.007,0.6422571400336001,0.7227
Cardi B,Bodak Yellow,2017,2010s,"hip hop, pop",59,0.929,0.723,0.458,125.022,0.7274434232631682,0.7227
Craig David,Fill Me In,2000,2000s,"hip hop, pop, R&B",60,0.682,0.744,0.827,132.493,0.6686925585532167,0.7226
Craig David,Fill Me In,2000,2000s,"hip hop, pop, R&B",60,0.682,0.744,0.827,132.493,0.6686925585532167,0.7226
Basshunter,All I Ever Wanted - Radio Edit,2008,2000s,pop,65,0.645,0.984,0.553,144.954,0.6652337187469117,0.7224
Cheryl,Fight For This Love,2009,2000s,"pop, Dance/Electronic",65,0.739,0.741,0.727,122.988,0.7234410514873011,0.7224
Deorro,Five More Hours,2015,2010s,"pop, Dance/Electronic",66,0.699,0.883,0.499,127.961,0.854234608162862,0.7224
Ray J,Sexy Can I feat. Yung Berg,2008,2000s,"hip hop, pop, R&B",1,0.575,0.684,0.926,172.155,0.7168198438580887,0.7223
Migos,T-Shirt,2017,2010s,"hip hop, pop",64,0.865,0.687,0.486,139.023,0.8286391935962052,0.7223
Jason Derulo,Tip Toe (feat. French Montana),2017,2010s,"hip hop, pop",64,0.845,0.709,0.62,98.062,0.7889613598181638,0.7221
Jennifer Lopez,Ain't It Funny,2001,2000s,"hip hop, pop, R&B",0,0.707,0.869,0.621,99.825,0.7900484237572882,0.722
Jamelia,Superstar,2003,2000s,pop,69,0.801,0.645,0.824,110.01,0.671212570412096,0.722
Debelah Morgan,Dance with Me,2000,2000s,"pop, R&B",49,0.85,0.674,0.74,115.005,0.6192805613202885,0.7219
Cherish,Do It To It,2006,2000s,"hip hop, pop, R&B",65,0.826,0.67,0.794,74.007,0.7389564186184405,0.7219
Wiz Khalifa,Black and Yellow,2011,2010s,"hip hop, pop",75,0.684,0.834,0.538,164.02,0.7900978357545211,0.7218
Charli XCX,Boom Clap,2014,2010s,"pop, Dance/Electronic",49,0.659,0.911,0.576,91.999,0.9009783575452119,0.7218
Rihanna,Only Girl (In The World),2010,2010s,"hip hop, pop, R&B",73,0.789,0.716,0.611,125.906,0.8040814309714399,0.7215
Nelly,Country Grammar (Hot Shit),2000,2000s,"hip hop, pop, R&B",68,0.865,0.664,0.565,162.831,0.6765490661132523,0.7214
Ylvis,The Fox (What Does the Fox Say?),2013,2010s,hip hop,63,0.703,0.867,0.546,128.008,0.8015614191125606,0.7211
Lil Jon,Snap Yo Fingers,2006,2000s,"hip hop, pop",67,0.835,0.757,0.626,82.038,0.7651447771518924,0.7207
Olly Murs,Up (feat. Demi Lovato),2014,2010s,"pop, Dance/Electronic",0,0.69,0.845,0.638,114.948,0.7825872121751161,0.7207
CNCO,Reggaetón Lento (Remix),2017,2010s,"pop, latin",0,0.623,0.909,0.651,93.984,0.8614981717561023,0.7206
David Guetta,Who's That Chick? (feat. Rihanna),2010,2010s,"hip hop, pop, Dance/Electronic",71,0.675,0.602,0.933,127.938,0.7797707283328392,0.7205
DMX,Party Up,1999,1990s,"hip hop, pop",71,0.51,0.931,0.53,201.936,0.8504792963731594,0.7203
Mann,Buzzin Remix,2011,2010s,"hip hop, pop",48,0.687,0.939,0.539,104.029,0.7976084593339263,0.7203
Zara Larsson,Lush Life,2015,2010s,"pop, Dance/Electronic",0,0.658,0.741,0.789,98.024,0.8723193991501137,0.7203
French Montana,Unforgettable,2017,2010s,"hip hop, pop",82,0.726,0.769,0.733,97.985,0.7644530091906315,0.7203
Jibbs,Chain Hang Low,2006,2000s,"hip hop, pop",56,0.792,0.589,0.778,157.147,0.6742267022433047,0.7202
Pretty Ricky,On the Hotline - Amended Version,2007,2000s,"hip hop, pop, R&B",57,0.704,0.854,0.688,92.988,0.7430082023915406,0.7202
Shawn Mendes,I Know What You Did Last Summer,2015,2010s,pop,73,0.687,0.761,0.743,113.939,0.7872319399150113,0.72
Marshmello,Happier,2018,2010s,"pop, Dance/Electronic",82,0.687,0.792,0.671,100.015,0.8778041308429687,0.72
Geri Halliwell,It's Raining Men,2001,2000s,pop,62,0.637,0.929,0.604,136.482,0.7156833679217314,0.7197
Sean Kingston,Beautiful Girls,2007,2000s,"hip hop, pop, R&B",78,0.762,0.661,0.769,130.009,0.7134598280462496,0.7197
Eminem,Shake That,2005,2000s,hip hop,74,0.963,0.643,0.534,107.005,0.7277893072437988,0.7191
Keri Hilson,Knock You Down,2009,2000s,"pop, R&B",57,0.588,0.877,0.645,155.165,0.7774483644628916,0.7188
Britney Spears,Piece of Me,2007,2000s,pop,64,0.769,0.638,0.782,115.007,0.7639094772210693,0.7187
Calvin Harris,I Need Your Love (feat. Ellie Goulding),2012,2010s,"hip hop, pop, Dance/Electronic",70,0.695,0.869,0.58,124.989,0.7633165332542742,0.7187
Avicii,Silhouettes - Original Radio Edit,2012,2010s,"pop, Dance/Electronic",53,0.605,0.8,0.836,128.074,0.7055539084889811,0.7186
Blue,U Make Me Wanna - Radio Edit,2003,2000s,pop,48,0.6,0.736,0.848,158.108,0.7058997924696117,0.7185
Kelly Clarkson,Stronger (What Doesn't Kill You),2011,2010s,"pop, R&B",74,0.562,0.939,0.684,116.044,0.8020555390848898,0.7185
Mystikal,Shake Ya Ass,2000,2000s,"hip hop, pop",57,0.914,0.607,0.666,98.054,0.7340646308923806,0.7183
Asher Roth,I Love College,2009,2000s,"hip hop, pop",62,0.713,0.826,0.664,86.444,0.812283822512106,0.7183
Crazy Town,Butterfly,1999,1990s,"rock, metal",71,0.736,0.811,0.609,103.502,0.8075896827749779,0.7182
Good Charlotte,Lifestyles of the Rich & Famous,2002,2000s,"rock, metal",68,0.62,0.93,0.609,106.22,0.831554501432948,0.7181
Cascada,Everytime We Touch - Radio Edit,2011,2010s,"hip hop, pop, Dance/Electronic",0,0.64,0.977,0.493,142.019,0.7483446980926969,0.7181
Cardi B,Bodak Yellow,2018,2010s,"hip hop, pop",72,0.926,0.703,0.485,125.022,0.7005138847712225,0.7181
Blake Shelton,Honey Bee,2011,2010s,country,50,0.481,0.849,0.723,205.57,0.7601047534341338,0.718
B.o.B,Magic (feat. Rivers Cuomo),2010,2010s,"hip hop, pop",65,0.549,0.932,0.787,82.439,0.8105544026089535,0.7179
Sean Paul,No Lie,2018,2010s,"hip hop, pop",84,0.742,0.882,0.463,102.04,0.8722205751556479,0.7176
Snoop Dogg,Sensual Seduction,2007,2000s,"hip hop, pop",56,0.756,0.829,0.504,120.163,0.8173238462298646,0.7175
Avril Lavigne,Here's to Never Growing Up,2013,2010s,pop,0,0.483,0.871,0.716,164.986,0.8612511117699377,0.7175
Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),2017,2010s,"pop, latin",70,0.688,0.822,0.66,91.011,0.8503804723786936,0.717
LL Cool J,Luv U Better,2002,2000s,"hip hop, pop, R&B",2,0.668,0.806,0.721,95.022,0.8209309220278684,0.7168
Maroon 5,One More Night,2012,2010s,pop,74,0.716,0.821,0.618,92.997,0.84390750074118,0.7167
ScHoolboy Q,Collard Greens,2014,2010s,"hip hop, pop",0,0.826,0.571,0.666,153.972,0.7729518727146951,0.7167
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),2016,2010s,pop,62,0.689,0.791,0.755,95.04,0.7569917976084594,0.7165
Craig David,7 Days,2000,2000s,"hip hop, pop, R&B",70,0.659,0.812,0.888,83.014,0.6430971439865599,0.7163
The Pussycat Dolls,Don't Cha,2005,2000s,"pop, R&B",72,0.875,0.631,0.549,120.003,0.8419310208518628,0.7163
JLS,Everybody in Love,2013,2010s,pop,39,0.705,0.783,0.656,140.022,0.7185986757584741,0.7163
Outkast,The Way You Move (feat. Sleepy Brown),2003,2000s,"hip hop, pop",66,0.871,0.597,0.635,125.999,0.7699377408834864,0.716
Outkast,The Way You Move (feat. Sleepy Brown),2003,2000s,"hip hop, pop",66,0.871,0.597,0.635,125.999,0.7699377408834864,0.716
Britney Spears,Born to Make You Happy,1999,1990s,pop,58,0.633,0.922,0.686,84.11,0.7743848206344501,0.7158
Robin Thicke,Blurred Lines,2013,2010s,"pop, R&B",55,0.861,0.504,0.881,120.0,0.6328194485621108,0.7154
Fergie,Glamorous,2006,2000s,"pop, R&B",64,0.811,0.757,0.565,130.993,0.6950785650756004,0.7153
Trick Daddy,I'm a Thug,2001,2000s,"hip hop, pop",59,0.933,0.561,0.586,139.976,0.7190927957308034,0.7152
Sean Kingston,Eenie Meenie,2010,2010s,"hip hop, pop, R&B",74,0.72,0.607,0.828,121.223,0.8076885067694436,0.7151
Rihanna,We Found Love,2011,2010s,"hip hop, pop, R&B",75,0.735,0.766,0.6,127.985,0.7920249036466054,0.7148
Rihanna,We Found Love,2011,2010s,"hip hop, pop, R&B",75,0.735,0.766,0.6,127.985,0.7920249036466054,0.7148
Linkin Park,Bleed It Out,2007,2000s,"rock, metal",73,0.529,0.967,0.596,140.127,0.8334321573277993,0.7147
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,2010s,pop,77,0.722,0.761,0.624,128.044,0.7933096155746615,0.7147
Calvin Harris,We'll Be Coming Back (feat. Example),2012,2010s,"hip hop, pop, Dance/Electronic",62,0.596,0.952,0.571,127.945,0.7980037553117897,0.7147
Charlie Puth,The Way I Am,2018,2010s,pop,64,0.755,0.769,0.642,114.966,0.7340646308923806,0.7147
Tame Impala,The Less I Know The Better,2015,2010s,metal,83,0.64,0.74,0.785,116.879,0.8118885265342424,0.7142
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,2011,2010s,"rock, pop, Dance/Electronic",68,0.578,0.946,0.588,126.092,0.8234015218895147,0.7141
D12,Purple Pills,2001,2000s,"hip hop, pop, rock",68,0.78,0.634,0.754,125.25,0.720081035675462,0.7139
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016,2010s,pop,76,0.666,0.83,0.702,113.03,0.7312481470501038,0.7139
Jax Jones,Breathe,2017,2010s,"hip hop, pop, Dance/Electronic",58,0.722,0.744,0.686,125.985,0.7408834865105247,0.7139
Jax Jones,Breathe,2017,2010s,"hip hop, pop, Dance/Electronic",58,0.722,0.744,0.686,125.985,0.7408834865105247,0.7139
Kanye West,Homecoming,2007,2000s,hip hop,47,0.667,0.747,0.918,86.917,0.6648384227690483,0.7136
Lil Pump,Gucci Gang,2017,2010s,hip hop,64,0.936,0.523,0.699,119.889,0.6820832098033401,0.7136
MIKA,Grace Kelly,2006,2000s,pop,69,0.675,0.828,0.669,122.229,0.7270975392825378,0.7135
Wiley,Boasty (feat. Idris Elba),2019,2010s,"hip hop, Dance/Electronic",64,0.887,0.765,0.456,102.958,0.7563494416444312,0.7135
Two Door Cinema Club,What You Know,2010,2010s,"World/Traditional, rock, pop",0,0.55,0.753,0.841,139.048,0.8158414863128768,0.7134
Loud Luxury,Body (feat. brando),2017,2010s,"pop, Dance/Electronic",0,0.752,0.764,0.582,121.958,0.7962743354086371,0.7134
Charlie Puth,Attention,2017,2010s,pop,0,0.774,0.626,0.777,100.041,0.7946437394999506,0.7133
Ashlee Simpson,Pieces Of Me,2004,2000s,pop,56,0.505,0.799,0.772,174.001,0.8018578910959582,0.7129
Iggy Azalea,Black Widow,2014,2010s,"hip hop, pop",67,0.743,0.72,0.519,163.99,0.8281944856211088,0.7129
Black Eyed Peas,Shut Up,2003,2000s,"hip hop, pop",56,0.81,0.714,0.561,112.968,0.817669730210495,0.7128
6ix9ine,GUMMO,2018,2010s,hip hop,63,0.66,0.775,0.635,157.036,0.7702342128668841,0.7128
Missy Elliott,Work It,2002,2000s,"hip hop, pop, R&B",70,0.884,0.677,0.584,101.868,0.7367822907401917,0.7127
Missy Elliott,Work It,2002,2000s,"hip hop, pop, R&B",70,0.884,0.677,0.584,101.868,0.7367822907401917,0.7127
Jagged Edge,He Can't Love U,2000,2000s,"hip hop, pop, R&B",55,0.721,0.836,0.508,126.279,0.8173732582270975,0.7126
The Saturdays,Higher,2010,2010s,"pop, Dance/Electronic",61,0.639,0.862,0.596,117.011,0.8509734163454887,0.7126
Travis Scott,goosebumps,2016,2010s,"hip hop, Dance/Electronic",83,0.841,0.728,0.43,130.049,0.8471192805613202,0.7124
Ronan Keating,Life Is A Rollercoaster,2000,2000s,"pop, rock",59,0.655,0.791,0.862,118.981,0.5727344599268702,0.7121
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),2012,2010s,"hip hop, pop, Dance/Electronic",61,0.665,0.886,0.53,128.062,0.8073426227888131,0.7121
MK,17,2017,2010s,"pop, Dance/Electronic",65,0.703,0.832,0.667,122.029,0.6577725071647396,0.712
Ronan Keating,Lovin' Each Day,2000,2000s,"pop, rock",58,0.541,0.899,0.829,106.676,0.704269196560925,0.7118
Panic! At The Disco,I Write Sins Not Tragedies,2005,2000s,rock,70,0.566,0.815,0.672,169.961,0.7922225516355372,0.7118
Katy Perry,Teenage Dream,2010,2010s,pop,69,0.719,0.798,0.591,120.011,0.7872319399150113,0.7115
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",2015,2010s,"hip hop, pop",1,0.676,0.615,0.883,163.993,0.6413677240834075,0.7114
Pitbull,Hotel Room Service,2009,2000s,"hip hop, pop, latin",63,0.849,0.599,0.761,126.003,0.6102381658266627,0.7112
Ed Sheeran,Don't,2014,2010s,pop,72,0.806,0.608,0.849,95.049,0.6673584346279277,0.7112
Echosmith,Cool Kids,2013,2010s,pop,71,0.719,0.671,0.786,130.027,0.7033797806107323,0.7112
Taio Cruz,Break Your Heart,2010,2010s,"hip hop, pop",74,0.607,0.934,0.568,122.01,0.8052673189050302,0.711
Aloe Blacc,I Need A Dollar,2010,2010s,R&B,1,0.84,0.482,0.957,95.498,0.6620219389267714,0.711
Madonna,Die Another Day,2003,2000s,pop,53,0.792,0.797,0.491,123.993,0.7583753335309813,0.7108
Kesha,Take It Off,2010,2010s,"pop, Dance/Electronic",68,0.729,0.675,0.74,125.036,0.7521494218796324,0.7108
Nico & Vinz,Am I Wrong,2014,2010s,"hip hop, pop",76,0.729,0.675,0.779,119.968,0.7170174918470205,0.7108
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2013,2010s,hip hop,76,0.853,0.693,0.662,95.967,0.6741772902460716,0.7107
Ellie Goulding,On My Mind,2015,2010s,"pop, rock, Dance/Electronic",0,0.699,0.688,0.742,154.943,0.6871726455183319,0.7106
Tinie Tempah,Pass Out,2010,2010s,"hip hop, pop, Dance/Electronic",53,0.693,0.891,0.532,91.1,0.8525051882597094,0.7105
2 Chainz,We Own It (Fast & Furious),2013,2010s,"hip hop, pop",69,0.563,0.902,0.559,171.999,0.7870342919260797,0.7103
Tinchy Stryder,Number 1,2009,2000s,"pop, Dance/Electronic",59,0.581,0.824,0.747,114.912,0.8203379780610732,0.7102
Fetty Wap,My Way (feat. Monty),2015,2010s,"hip hop, pop",55,0.748,0.741,0.537,128.077,0.860312283822512,0.7101
Franz Ferdinand,Do You Want To,2005,2000s,rock,61,0.412,0.944,0.79,123.091,0.8705405672497282,0.7097
Ne-Yo,Miss Independent,2008,2000s,"pop, R&B",71,0.668,0.673,0.727,171.812,0.7312975590473366,0.7097
Linkin Park,BURN IT DOWN,2012,2010s,"rock, metal",73,0.585,0.972,0.585,110.006,0.793754323549758,0.7096
Storm Queen,Look Right Through - MK Vocal Edit,2014,2010s,Dance/Electronic,0,0.832,0.815,0.519,119.995,0.6166123134697105,0.7096
Doja Cat,Juicy,2019,2010s,pop,57,0.786,0.658,0.458,170.037,0.8846723984583457,0.7096
My Chemical Romance,Teenagers,2006,2000s,rock,80,0.463,0.857,0.856,111.647,0.8622887637118293,0.7095
Jordin Sparks,One Step At a Time,2007,2000s,"pop, R&B",56,0.766,0.692,0.691,102.028,0.7827848601640478,0.7094
DJ Sammy,Heaven,2002,2000s,pop,63,0.571,0.953,0.601,137.965,0.7368811147346576,0.7093
Britney Spears,Gimme More,2007,2000s,pop,79,0.788,0.844,0.382,113.324,0.8589287478999901,0.7093
Kid Cudi,Day 'N' Nite (Nightmare),2009,2000s,hip hop,72,0.88,0.443,0.803,138.018,0.6994268208320981,0.7093
Mary J. Blige,Be Without You - Kendu Mix,2005,2000s,"pop, R&B",69,0.726,0.7,0.673,146.559,0.7230457555094376,0.7091
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),2002,2000s,"hip hop, pop, R&B",53,0.718,0.69,0.774,93.401,0.7971143393615969,0.709
Justin Bieber,As Long As You Love Me,2012,2010s,pop,67,0.571,0.873,0.613,139.691,0.846526336594525,0.709
John Legend,Green Light (feat. André 3000),2008,2000s,"pop, R&B",55,0.622,0.882,0.762,77.506,0.7374246467042198,0.7089
Panic! At The Disco,High Hopes,2018,2010s,rock,80,0.579,0.904,0.681,82.014,0.8787923707876273,0.7087
Lil Dicky,Freaky Friday (feat. Chris Brown),2018,2010s,"hip hop, pop",70,0.755,0.599,0.755,133.123,0.7645024211878644,0.7085
Justin Bieber,What Do You Mean?,2015,2010s,pop,77,0.845,0.567,0.793,125.02,0.6125111176993774,0.7082
The Weeknd,I Feel It Coming,2016,2010s,"pop, R&B",78,0.773,0.819,0.585,92.987,0.7198339756892974,0.7081
3OH!3,DONTTRUSTME,2008,2000s,"hip hop, pop, rock",70,0.791,0.713,0.514,130.012,0.828738017590671,0.7077
Jason Derulo,Don't Wanna Go Home,2011,2010s,"hip hop, pop",63,0.671,0.808,0.637,121.956,0.7734459926870244,0.7077
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),2013,2010s,rock,71,0.558,0.924,0.567,151.99,0.799140231248147,0.7077
Coldplay,Adventure of a Lifetime,2015,2010s,"rock, pop",76,0.638,0.924,0.53,111.995,0.8215732779918964,0.7076
JAY-Z,Dirt Off Your Shoulder,2003,2000s,hip hop,53,0.779,0.655,0.645,163.971,0.6604901670125506,0.7075
Calvin Harris,This Is What You Came For (feat. Rihanna),2016,2010s,"hip hop, pop, Dance/Electronic",79,0.631,0.927,0.465,123.962,0.8759264749481175,0.7074
BlocBoy JB,Look Alive (feat. Drake),2018,2010s,"hip hop, pop",73,0.922,0.581,0.595,140.022,0.6432947919754916,0.7074
Ne-Yo,Because Of You,2007,2000s,"pop, R&B",74,0.81,0.538,0.828,109.97,0.7278387192410317,0.7073
Sean Paul,She Doesn't Mind,2012,2010s,"hip hop, pop",70,0.718,0.776,0.622,120.015,0.7563000296471983,0.7073
Calvin Harris,Sweet Nothing (feat. Florence Welch),2012,2010s,"hip hop, pop, Dance/Electronic",71,0.573,0.929,0.582,127.934,0.8188556181440854,0.7073
Marshmello,Alone,2016,2010s,"pop, Dance/Electronic",71,0.631,0.953,0.422,141.99,0.8288862535823698,0.7073
Nicky Jam,X,2019,2010s,latin,74,0.594,0.749,0.694,179.968,0.7518529498962347,0.707
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),2009,2000s,"pop, Dance/Electronic",65,0.594,0.874,0.628,119.964,0.8300227295187271,0.7068
Jennifer Lopez,On The Floor,2011,2010s,"hip hop, pop, R&B",79,0.73,0.777,0.575,130.0,0.7569917976084594,0.7068
Brandy,What About Us?,2002,2000s,"hip hop, pop, R&B",43,0.686,0.698,0.748,93.118,0.8682676153770135,0.7067
